Paystep BAC1 C1+PD BA+30+C2 C2+ID C2+PD C2+ID+PD MA+30C6 MA+30C6+PD
1A 61,070 66,601 63,120 66,909 68,652 72,437 70,703 76,231
1B 61,070 66,601 63,120 66,909 68,652 72,437 70,703 76,231
2A 62,284 67,815 64,334 68,123 69,866 73,651 71,917 77,445
2B 62,284 67,815 64,334 68,123 69,866 73,651 71,917 77,445
3A 62,799 68,330 64,849 68,638 70,381 74,166 72,432 77,960
3B 62,799 68,330 64,849 68,638 70,381 74,166 72,432 77,960
4A 63,708 69,239 65,758 69,547 71,290 75,075 73,341 78,869
4B 63,708 69,239 65,758 69,547 71,290 75,075 73,341 78,869
5A 64,494 70,025 66,544 70,333 72,076 75,861 74,127 79,655
5B 64,494 70,025 66,544 70,333 72,076 75,861 74,127 79,655
6A 65,340 70,871 67,390 71,179 72,922 76,707 74,973 80,501
6A+L5 66,626 72,157 68,676 72,465 74,208 77,993 76,259 81,787
6B 66,540 72,071 68,590 72,379 74,122 77,907 76,173 81,701
6B+L5 67,826 73,357 69,876 73,665 75,408 79,193 77,459 82,987
7A 68,320 73,851 70,370 74,159 75,902 79,687 77,953 83,481
7A+L5 69,606 75,137 71,656 75,445 77,188 80,973 79,239 84,767
7B 72,490 78,021 74,540 78,329 80,072 83,857 82,123 87,651
7B+L5 73,776 79,307 75,826 79,615 81,358 85,143 83,409 88,937
8A 76,390 81,921 78,440 82,229 83,972 87,757 86,023 91,551
8A+L5 77,676 83,207 79,726 83,515 85,258 89,043 87,309 92,837
8B 81,022 86,553 83,072 86,861 88,604 92,389 90,655 96,183
8B+L5 82,308 87,839 84,358 88,147 89,890 93,675 91,941 97,469
8B+L10 86,280 91,811 88,330 92,119 93,862 97,647 95,913 101,441
8B+L13 88,984 94,515 91,034 94,823 96,566 100,351 98,617 104,145
8B+L15 94,691 100,222 96,741 100,530 102,273 106,058 104,324 109,852
8B+L18 96,189 101,720 98,239 102,028 103,771 107,556 105,822 111,350
8B+L20 107,263 112,794 109,313 113,102 114,845 118,630 116,896 122,424
8B+L22 113,496 119,027 115,546 119,335 121,078 124,863 123,129 128,657
